club,marca_1,marca_2,marca_3,numero_empregados,aporte_inicial,tem_estoque_proprio,usa_despachante,legado_familia,sistema_1,sistema_2,sistema_3,sistemas_4,sistema_5,sistema_6,canal_bo,canal_loja,canal_vd,local_bairro,local_centro,local_rua_famosa,local_rural,local_shopping,1,2,3,4,faturamento_a,faturamento_b,faturamento_c,faturamento_d,maturidade_alta,maturidade_baixa,maturidade_inexistente,maturidade_media,regiao_1,regiao_2,regiao_3,regiao_4,regiao_5,regiao_6
OURO,1,0,0,0.23076923076923078,0.3794777018722367,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
PRATA,0,0,1,0.11538461538461539,0.9323160590723123,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
OURO,1,0,0,0.3076923076923077,0.7300292921383261,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
DIAMANTE,1,1,1,0.34615384615384615,0.9828977515358621,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
BRONZE,0,1,1,0.7307692307692307,0.20750214765677893,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
BRONZE,1,0,1,0.6153846153846154,0.17154452275016077,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
DIAMANTE,1,1,1,0.7692307692307693,0.9812446308580527,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
OURO,1,1,0,0.4230769230769231,0.7059075312497812,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
PRATA,1,0,1,0.15384615384615385,0.8096331032165348,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
OURO,1,1,0,0.4230769230769231,0.7183934427213187,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
PRATA,1,1,0,0.07692307692307693,0.6511225319448319,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
DIAMANTE,1,1,1,0.23076923076923078,0.6158069539076353,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
OURO,1,0,1,0.2692307692307692,0.0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
