loja,club,marca_1,marca_2,marca_3,regiao,canal,localizacao,numero_empregados,aporte_inicial,modelo_arquitetonico,tem_estoque_proprio,usa_despachante,legado_familia,sistema_1,sistema_2,sistema_3,sistemas_4,sistema_5,sistema_6,faturamento_ultimo_ano,maturidade_processo
1,OURO,S,N,N,1,VD,CENTRO,10,379450,4,N,S,N,S,S,S,S,S,S,C,ALTA
2,PRATA,N,N,S,3,LJ,BAIRRO,7,932248,3,N,S,N,S,S,N,N,S,N,C,INEXISTENTE
3,OURO,S,N,N,6,LJ,RUA_FAMOSA,12,729976,2,N,S,N,S,S,S,N,N,S,D,INEXISTENTE
4,DIAMANTE,S,S,S,1,VD,SHOPPING,13,982826,1,N,S,S,S,S,N,N,N,S,B,MÉDIA
5,BRONZE,N,S,S,4,LJ,BAIRRO,23,207487,4,S,S,N,S,S,N,N,S,N,D,INEXISTENTE
6,BRONZE,S,N,S,5,VD,RURAL,20,171532,4,N,S,N,S,S,S,S,S,N,D,INEXISTENTE
7,DIAMANTE,S,S,S,2,BO,SHOPPING,24,981173,1,S,N,S,S,S,N,S,N,N,A,ALTA
8,OURO,S,S,N,1,LJ,RURAL,15,705856,3,N,,S,S,S,S,N,S,S,B,ALTA
9,PRATA,S,N,S,6,VD,RUA_FAMOSA,8,809574,4,S,,N,S,N,N,N,S,N,D,ALTA
10,OURO,S,S,N,6,LJ,CENTRO,15,718341,4,N,,N,S,N,N,S,N,S,A,ALTA
11,PRATA,S,S,N,3,BO,BAIRRO,6,651075,3,S,N,N,N,N,S,S,N,N,D,ALTA
12,DIAMANTE,S,S,S,5,LJ,CENTRO,10,615762,1,N,N,S,N,S,S,S,S,S,A,MÉDIA
13,OURO,S,N,S,,VD,,11,,2,N,S,S,S,N,S,S,N,N,B,ALTA
14,OURO,S,S,S,3,VD,BAIRRO,16,498488,2,N,S,N,S,N,N,N,N,S,A,MÉDIA
15,OURO,S,N,S,5,BO,CENTRO,16,907570,4,S,S,S,S,S,N,S,N,S,B,ALTA
16,OURO,S,N,S,3,BO,RURAL,7,355966,4,S,N,N,S,N,S,N,S,N,C,MÉDIA
17,DIAMANTE,S,S,S,2,LJ,RURAL,10,521619,1,S,N,S,N,S,S,S,N,S,A,ALTA
18,OURO,S,S,S,6,LJ,BAIRRO,15,525801,4,S,S,S,S,S,S,S,S,S,D,BAIXA
19,PRATA,N,S,N,3,BO,RUA_FAMOSA,9,903590,4,S,S,N,S,S,N,S,S,N,D,INEXISTENTE
20,OURO,S,S,N,2,LJ,RUA_FAMOSA,8,933843,3,S,N,N,S,N,N,N,S,N,B,INEXISTENTE
21,OURO,S,N,S,2,BO,,10,415687,2,N,N,S,S,S,S,S,S,N,C,INEXISTENTE
22,PRATA,S,S,S,2,LJ,,4,511882,4,N,S,N,N,S,N,N,N,N,C,BAIXA
23,OURO,S,S,N,2,BO,,13,394776,2,S,S,S,S,N,S,S,S,S,C,ALTA
24,PRATA,N,S,S,2,BO,,9,811318,3,S,S,N,S,S,S,N,N,N,D,INEXISTENTE
25,BRONZE,N,S,S,2,BO,,15,,4,N,S,S,S,S,N,S,S,N,D,MÉDIA
26,OURO,S,S,N,,LJ,,11,552262,2,S,N,S,S,N,S,N,N,S,B,ALTA
27,BRONZE,N,N,N,3,LJ,,17,240829,4,N,S,S,N,S,N,S,S,N,B,MÉDIA
28,OURO,S,S,S,,LJ,CENTRO,8,661202,4,S,S,N,S,N,N,S,N,S,A,MÉDIA
29,DIAMANTE,S,S,S,5,LJ,BAIRRO,10,691187,1,S,S,S,N,S,N,N,S,S,B,MÉDIA
30,OURO,S,S,S,,LJ,,7,,2,S,N,N,S,S,S,S,S,S,D,BAIXA
31,PRATA,S,S,N,2,LJ,RUA_FAMOSA,8,990189,3,N,S,N,N,N,N,S,N,N,D,ALTA
32,BRONZE,N,S,N,2,LJ,BAIRRO,23,203932,4,S,S,N,N,S,S,N,N,N,C,MÉDIA
33,PRATA,S,N,N,,LJ,RUA_FAMOSA,9,495282,3,N,S,N,N,S,S,S,S,N,C,INEXISTENTE
34,PRATA,N,S,S,1,LJ,SHOPPING,6,499225,3,S,N,N,N,S,S,N,N,N,D,BAIXA
35,OURO,S,S,S,2,LJ,RUA_FAMOSA,9,665787,4,S,N,N,S,S,S,N,S,N,B,BAIXA
36,OURO,S,S,N,,VD,BAIRRO,9,355289,4,N,S,N,S,S,S,S,S,N,A,INEXISTENTE
37,PRATA,N,N,N,4,BO,BAIRRO,5,527020,4,N,N,N,S,S,S,S,S,N,C,BAIXA
38,BRONZE,S,S,N,2,VD,CENTRO,15,160909,4,S,N,S,N,N,N,N,S,N,B,BAIXA
39,DIAMANTE,S,S,S,1,BO,RUA_FAMOSA,29,631957,1,N,N,S,S,S,S,N,S,N,A,ALTA
40,OURO,S,S,S,2,BO,SHOPPING,16,897114,4,S,S,S,S,S,N,S,S,S,D,ALTA
41,BRONZE,S,S,N,,BO,CENTRO,13,262137,4,N,S,S,N,N,S,N,S,N,A,INEXISTENTE
42,PRATA,S,S,S,5,VD,BAIRRO,9,541661,4,N,S,N,S,S,N,S,S,N,D,INEXISTENTE
43,OURO,S,S,S,3,LJ,CENTRO,15,521793,3,N,N,S,S,S,N,N,N,S,A,MÉDIA
44,OURO,S,N,N,4,LJ,RURAL,13,827053,3,S,N,S,S,N,S,S,S,N,C,MÉDIA
45,BRONZE,N,N,N,2,BO,SHOPPING,22,136775,4,S,N,N,N,N,S,S,N,N,B,MÉDIA
46,DIAMANTE,S,S,S,,BO,BAIRRO,12,601686,1,S,S,S,N,S,N,N,N,S,B,ALTA
47,OURO,S,S,S,,VD,CENTRO,16,519187,3,N,N,N,S,N,S,S,S,N,B,MÉDIA
48,BRONZE,N,N,S,2,LJ,RUA_FAMOSA,18,154375,4,S,S,S,N,S,N,S,N,N,B,INEXISTENTE
49,BRONZE,S,N,S,,BO,RUA_FAMOSA,17,170642,4,N,N,S,S,S,S,S,N,N,C,MÉDIA
50,PRATA,S,N,S,1,VD,CENTRO,8,940893,3,S,S,N,S,S,N,N,S,N,D,BAIXA
51,PRATA,S,N,S,,BO,RUA_FAMOSA,8,672486,3,S,N,N,N,N,S,N,S,N,C,INEXISTENTE
